Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
F5,22.500000mm,57.500000mm,Top,-90.0,22.500000mm,57.500000mm
F6,26.000000mm,57.500000mm,Top,-90.0,26.000000mm,57.500000mm
F7,28.400000mm,57.500000mm,Top,-90.0,28.400000mm,57.500000mm
G1,4.500000mm,75.000000mm,Top,0.0,4.500000mm,75.000000mm
G2,5.473830mm,26.144279mm,Top,90.0,5.473830mm,26.144279mm
IC1,62.065000mm,50.825000mm,Top,0.0,62.065000mm,50.825000mm
IC2,11.200000mm,55.200000mm,Top,180.0,11.200000mm,55.200000mm
IC3,11.200000mm,46.000000mm,Top,180.0,11.200000mm,46.000000mm
J1,49.850000mm,65.300000mm,Top,180.0,49.850000mm,65.300000mm
J2,23.850000mm,43.000000mm,Top,90.0,23.850000mm,43.000000mm
M1,68.899990mm,3.600000mm,Top,90.0,68.899990mm,3.600000mm
M2,26.462500mm,37.700000mm,Top,180.0,26.462500mm,37.700000mm
M3,11.324999mm,3.724999mm,Top,0.0,11.324999mm,3.724999mm
R1,42.700000mm,44.900000mm,Top,90.0,42.700000mm,44.900000mm
R2,45.300000mm,44.900000mm,Top,90.0,45.300000mm,44.900000mm
R3,44.000000mm,44.900000mm,Top,-90.0,44.000000mm,44.900000mm
R4,46.644359mm,44.900000mm,Top,-90.0,46.644359mm,44.900000mm
R5,59.365000mm,44.925000mm,Top,90.0,59.365000mm,44.925000mm
R6,60.665000mm,44.950000mm,Top,90.0,60.665000mm,44.950000mm
R7,65.130000mm,44.950000mm,Top,90.0,65.130000mm,44.950000mm
R8,63.530000mm,44.950000mm,Top,90.0,63.530000mm,44.950000mm
R9,37.665000mm,44.923405mm,Top,90.0,37.665000mm,44.923405mm
R10,40.165000mm,44.925000mm,Top,90.0,40.165000mm,44.925000mm
R11,3.200000mm,53.800000mm,Top,180.0,3.200000mm,53.800000mm
R12,3.100000mm,44.600000mm,Top,180.0,3.100000mm,44.600000mm
R13,27.700000mm,32.900000mm,Top,90.0,27.700000mm,32.900000mm
R14,70.800000mm,24.500000mm,Top,0.0,70.800000mm,24.500000mm
R15,70.800000mm,23.100000mm,Top,180.0,70.800000mm,23.100000mm
R16,25.600000mm,1.900000mm,Top,0.0,25.600000mm,1.900000mm
R17,48.000000mm,44.900000mm,Top,90.0,48.000000mm,44.900000mm
R18,50.600000mm,44.900000mm,Top,90.0,50.600000mm,44.900000mm
R19,49.300000mm,44.900000mm,Top,-90.0,49.300000mm,44.900000mm
R20,51.948175mm,44.905000mm,Top,-90.0,51.948175mm,44.905000mm
R21,38.925000mm,44.950000mm,Top,-90.0,38.925000mm,44.950000mm
R22,41.425000mm,44.950000mm,Top,-90.0,41.425000mm,44.950000mm
R23,53.300000mm,44.900000mm,Top,90.0,53.300000mm,44.900000mm
R24,55.900000mm,44.900000mm,Top,90.0,55.900000mm,44.900000mm
R25,54.600000mm,44.900000mm,Top,-90.0,54.600000mm,44.900000mm
R26,57.200000mm,44.900000mm,Top,-90.0,57.200000mm,44.900000mm
U1,45.200000mm,50.900000mm,Top,0.0,45.200000mm,50.900000mm
U2,50.800000mm,50.900000mm,Top,0.0,50.800000mm,50.900000mm
U3,56.400000mm,50.900000mm,Top,0.0,56.400000mm,50.900000mm
U4,39.600000mm,50.900000mm,Top,0.0,39.600000mm,50.900000mm
