Designator,Mid X,Mid Y,Layer,Rotation
C107,37.099990000000005mm,11.9785mm,Bottom,90.0
C106,41.44309mm,12.003499999999999mm,Bottom,90.0
U110,43.495090000000005mm,11.5531mm,Bottom,0.0
R145,46.455290000000005mm,11.5922mm,Bottom,90.0
R144,45.50979mm,11.5922mm,Bottom,90.0
R143,57.66879mm,4.9968mm,Bottom,0.0
R107,35.52159mm,13.713899999999999mm,Top,90.0
D108,34.14999mm,13.3531mm,Top,270.0
U107,57.69609mm,34.7065mm,Bottom,90.0
U106,44.268190000000004mm,35.3924mm,Top,90.0
C134,59.432390000000005mm,34.7065mm,Bottom,90.0
C126,42.32489mm,35.6952mm,Top,270.0
VD102,62.304990000000004mm,32.4462mm,Bottom,0.0
VD101,66.69499mm,35.800000000000004mm,Bottom,180.0
VD100,66.69499mm,32.4462mm,Bottom,180.0
U109,64.41599000000001mm,32.980199999999996mm,Top,90.0
U103,51.07499mm,10.1mm,Bottom,0.0
U100,44.39949mm,7.700100000000001mm,Top,180.0
U195,58.54999mm,14.9mm,Top,180.0
U190,58.54999mm,29.1mm,Top,180.0
U185,58.54999mm,7.800000000000001mm,Top,180.0
U180,58.54999mm,22.0mm,Top,180.0
S101,35.28569mm,23.7997mm,Top,90.0
S100,48.39999mm,34.9465mm,Top,180.0
R140,64.59999mm,28.900100000000002mm,Bottom,90.0
R111,53.249990000000004mm,5.1mm,Bottom,270.0
R112,52.19999mm,5.1mm,Bottom,270.0
R117,46.94999mm,5.1mm,Bottom,270.0
R115,49.04999mm,5.1mm,Bottom,270.0
R116,47.999990000000004mm,5.1mm,Bottom,270.0
R114,50.099990000000005mm,5.1mm,Bottom,270.0
R113,51.14999mm,5.1mm,Bottom,270.0
R110,54.29999mm,5.1mm,Bottom,270.0
R120,41.11299mm,35.4183mm,Top,90.0
R100,44.39999mm,4.8001000000000005mm,Bottom,180.0
R258,65.10509mm,25.5577mm,Bottom,0.0
R255,66.99999mm,4.75mm,Bottom,0.0
R256,62.39999mm,26.5mm,Bottom,180.0
R254,64.54999000000001mm,4.65mm,Top,0.0
R245,66.04999000000001mm,22.200100000000003mm,Bottom,90.0
R227,66.04999000000001mm,17.400000000000002mm,Bottom,90.0
R200,66.04999000000001mm,7.8001000000000005mm,Bottom,90.0
R197,57.19999mm,14.9001mm,Bottom,270.0
R196,59.999990000000004mm,14.9mm,Bottom,90.0
R195,60.499990000000004mm,17.7501mm,Bottom,0.0
R191,57.19999mm,29.0mm,Bottom,270.0
R190,59.999990000000004mm,29.0mm,Bottom,90.0
R186,57.19999mm,7.800000000000001mm,Bottom,270.0
R185,59.999990000000004mm,7.800000000000001mm,Bottom,90.0
R181,57.19999mm,22.0mm,Bottom,270.0
R180,59.999990000000004mm,22.0mm,Bottom,90.0
R139,67.09999mm,30.1mm,Top,0.0
R138,67.09999mm,28.900000000000002mm,Top,0.0
R137,67.09999mm,27.700000000000003mm,Top,0.0
R136,67.09999mm,26.5mm,Top,0.0
R135,66.09999mm,30.1mm,Top,180.0
R132,66.09999mm,28.900000000000002mm,Top,180.0
R126,66.09999mm,27.700000000000003mm,Top,180.0
R124,66.09999mm,26.5mm,Top,180.0
R119,53.19999mm,5.7mm,Top,180.0
R118,49.099990000000005mm,5.7mm,Top,180.0
R253,67.09999mm,24.1mm,Top,180.0
R252,67.09999mm,22.900000000000002mm,Top,180.0
R251,67.09999mm,21.700000000000003mm,Top,180.0
R250,67.09999mm,20.5mm,Top,180.0
R249,66.09999mm,24.1mm,Top,0.0
R248,66.09999mm,22.900000000000002mm,Top,0.0
R247,66.09999mm,21.700000000000003mm,Top,0.0
R246,66.09999mm,20.5mm,Top,0.0
R235,67.09999mm,19.3mm,Top,180.0
R234,67.09999mm,18.1mm,Top,180.0
R233,67.09999mm,16.900000000000002mm,Top,180.0
R232,67.09999mm,15.7mm,Top,180.0
R231,66.09999mm,19.3mm,Top,0.0
R230,66.09999mm,18.1mm,Top,0.0
R229,66.09999mm,16.900000000000002mm,Top,0.0
R228,66.09999mm,15.7mm,Top,0.0
R226,67.09999mm,14.5mm,Top,0.0
R225,67.09999mm,13.299999999999999mm,Top,0.0
R224,67.09999mm,12.1mm,Top,0.0
R223,67.09999mm,10.9mm,Top,0.0
R222,66.09999mm,14.5mm,Top,180.0
R221,66.09999mm,13.299999999999999mm,Top,180.0
R220,66.09999mm,12.1mm,Top,180.0
R219,66.09999mm,10.9mm,Top,180.0
R218,66.04999000000001mm,12.6mm,Bottom,90.0
R208,67.09999mm,9.7mm,Top,0.0
R207,67.09999mm,8.5mm,Top,0.0
R206,67.09999mm,7.300000000000001mm,Top,0.0
R205,67.09999mm,6.1mm,Top,0.0
R204,66.09999mm,9.7mm,Top,180.0
R203,66.09999mm,8.5mm,Top,180.0
R202,66.09999mm,7.300000000000001mm,Top,180.0
R201,66.09999mm,6.1mm,Top,180.0
P106,55.14999mm,27.0mm,Top,0.0
P105,55.14999mm,19.38mm,Top,0.0
P104,55.14999mm,23.39mm,Top,0.0
P201,66.59999mm,25.35mm,Top,180.0
P200,68.09999mm,4.8mm,Top,180.0
J100,45.29999mm,30.55mm,Bottom,180.0
D100,45.107690000000005mm,8.2mm,Bottom,270.0
D205,59.843590000000006mm,34.7965mm,Top,180.0
D206,63.29999mm,22.3mm,Top,270.0
D203,63.29999mm,17.5mm,Top,270.0
D200,63.29999mm,7.9mm,Top,270.0
D116,54.50049mm,9.2361mm,Top,270.0
D115,54.50049mm,13.4744mm,Top,270.0
D114,52.56709000000001mm,9.2361mm,Top,270.0
D113,52.56709000000001mm,13.4744mm,Top,270.0
D112,50.633790000000005mm,9.2361mm,Top,270.0
D111,50.633790000000005mm,13.4744mm,Top,270.0
D110,48.70049mm,9.2361mm,Top,270.0
D109,48.56109000000001mm,13.3531mm,Top,270.0
D202,63.29999mm,12.7mm,Top,270.0
C143,64.19999mm,26.5mm,Top,0.0
C144,64.19999mm,27.700000000000003mm,Top,180.0
C145,64.19999mm,28.900000000000002mm,Top,0.0
C146,64.19999mm,30.1mm,Top,0.0
C112,54.81469mm,15.4122mm,Bottom,90.0
C111,55.29999mm,5.1mm,Bottom,270.0
C123,36.67499mm,30.700000000000003mm,Bottom,90.0
C117,35.40749mm,30.700000000000003mm,Bottom,90.0
C105,42.89999mm,8.9mm,Bottom,90.0
C100,42.89999mm,6.327500000000001mm,Bottom,270.0
C229,65.10509mm,26.5mm,Bottom,180.0
C224,66.49999mm,4.65mm,Top,180.0
C223,62.249990000000004mm,4.65mm,Top,180.0
C222,65.19999mm,4.7mm,Bottom,0.0
C221,62.42719mm,24.922700000000003mm,Top,0.0
C220,62.39999mm,24.8153mm,Bottom,0.0
C225,63.349990000000005mm,20.3001mm,Bottom,0.0
C226,63.349990000000005mm,21.400000000000002mm,Bottom,0.0
C227,63.349990000000005mm,23.5501mm,Bottom,0.0
C228,66.10509mm,24.6153mm,Bottom,180.0
C212,63.349990000000005mm,15.5001mm,Bottom,0.0
C213,63.349990000000005mm,16.6mm,Bottom,0.0
C214,63.349990000000005mm,18.7501mm,Bottom,0.0
C215,66.10509mm,19.794400000000003mm,Bottom,180.0
C200,63.349990000000005mm,5.9001mm,Bottom,0.0
C201,63.349990000000005mm,7.0mm,Bottom,0.0
C202,63.349990000000005mm,9.1501mm,Bottom,0.0
C203,66.10509mm,10.1905mm,Bottom,180.0
C195,57.89999mm,17.7501mm,Bottom,0.0
C190,58.04999mm,31.85mm,Bottom,0.0
C185,57.89999mm,10.65mm,Bottom,0.0
C180,57.89999mm,24.85mm,Bottom,0.0
C142,67.09999mm,30.1mm,Bottom,0.0
C141,67.09999mm,28.900000000000002mm,Bottom,0.0
C139,67.09999mm,27.700100000000003mm,Bottom,180.0
C135,67.09999mm,26.5mm,Bottom,0.0
C211,66.10509mm,15.008099999999999mm,Bottom,180.0
C210,63.349990000000005mm,13.950099999999999mm,Bottom,0.0
C209,63.349990000000005mm,11.799999999999999mm,Bottom,0.0
C208,63.349990000000005mm,10.7001mm,Bottom,0.0
C147,49.69129mm,21.450000000000003mm,Bottom,270.0
F101,36.502790000000005mm,6.4mm,Bottom,180.0
R134,36.999990000000004mm,15.65mm,Bottom,90.0
R133,35.82499mm,15.65mm,Bottom,90.0
C133,39.10999mm,15.799999999999999mm,Bottom,180.0
R131,53.756190000000004mm,22.596mm,Bottom,270.0
R130,48.57499mm,15.9001mm,Bottom,180.0
R129,52.44999mm,15.9001mm,Bottom,180.0
Y101,40.682590000000005mm,18.1874mm,Bottom,90.0
C116,42.17139mm,19.128600000000002mm,Bottom,270.0
C115,42.15769mm,17.264400000000002mm,Bottom,90.0
C124,50.83109mm,21.450000000000003mm,Bottom,90.0
R121,34.322990000000004mm,31.125400000000003mm,Bottom,270.0
R106,36.17499mm,24.950000000000003mm,Bottom,90.0
J101,35.44999mm,30.3mm,Top,270.0
C108,39.099990000000005mm,17.400000000000002mm,Bottom,90.0
R105,51.71889mm,35.3491mm,Top,90.0
R104,52.90889mm,35.1491mm,Top,90.0
R103,54.01889mm,35.3491mm,Top,90.0
R125,65.57999000000001mm,35.9mm,Top,0.0
C104,34.499990000000004mm,9.75mm,Bottom,180.0
C137,54.79149mm,17.095200000000002mm,Top,90.0
D101,40.25549mm,6.5295000000000005mm,Bottom,270.0
C101,34.322990000000004mm,33.4916mm,Bottom,270.0
R102,41.82549mm,5.327500000000001mm,Bottom,270.0
R101,44.69999mm,15.9001mm,Bottom,0.0
D102,35.69999mm,35.2mm,Top,180.0
Y102,45.71349000000001mm,20.8438mm,Bottom,180.0
R122,55.89999mm,35.2mm,Bottom,90.0
R123,57.92409000000001mm,32.9098mm,Bottom,0.0
R127,39.999990000000004mm,21.0mm,Bottom,270.0
R128,53.756190000000004mm,24.6778mm,Bottom,270.0
D106,41.135090000000005mm,13.3531mm,Top,270.0
D105,42.93509mm,13.3531mm,Top,270.0
D107,37.41049mm,19.505mm,Bottom,270.0
D104,44.73509mm,13.3531mm,Top,270.0
D103,46.535090000000004mm,13.3531mm,Top,270.0
C140,41.099990000000005mm,21.0mm,Bottom,90.0
C132,44.72489mm,18.5675mm,Bottom,180.0
C136,46.80009mm,18.5675mm,Bottom,0.0
C127,53.756190000000004mm,29.200000000000003mm,Bottom,90.0
C138,37.72779mm,4.7339mm,Bottom,180.0
C130,51.84649mm,19.2175mm,Bottom,90.0
C131,54.89999mm,29.200000000000003mm,Bottom,90.0
C122,49.69129mm,19.2175mm,Bottom,270.0
C114,39.89999mm,35.0683mm,Top,90.0
C103,34.499990000000004mm,8.7mm,Bottom,180.0
C113,38.69999mm,35.0683mm,Top,270.0
C102,41.82549mm,8.9mm,Bottom,270.0
U105,45.849990000000005mm,24.6094mm,Top,0.0
C771,18.362499999999997mm,32.2mm,Top,90.0
C772,13.462499999999999mm,32.900000000000006mm,Top,0.0
C773,13.462499999999999mm,31.552095mm,Top,0.0
D771,16.5625mm,29.700000000000003mm,Top,0.0
R771,22.9625mm,35.900000000000006mm,Top,0.0
R772,24.862499999999997mm,32.1mm,Top,90.0
R773,21.2625mm,33.5mm,Top,0.0
R774,21.2625mm,31.000000000000004mm,Top,0.0
R775,17.0625mm,32.2mm,Top,90.0
R776,13.462499999999999mm,29.750000000000004mm,Top,0.0
R777,15.562499999999998mm,32.2mm,Top,90.0
U771,15.662499999999998mm,35.400000000000006mm,Top,180.0
R428,27.009399000000002mm,8.979499mm,Bottom,90.0
R427,13.874998999999999mm,7.624999mm,Bottom,0.0
R426,25.400799mm,7.984899mm,Top,270.0
R425,24.092699mm,15.099999mm,Top,90.0
R424,24.092699mm,17.397099mm,Top,270.0
LED4,12.333099mm,6.736098999999999mm,Top,270.0
LED3,25.400799mm,10.134199mm,Top,90.0
LED2,25.174099mm,15.124999mm,Top,90.0
LED1,25.174099mm,17.372099mm,Top,270.0
R422,18.183399mm,6.624999mm,Bottom,180.0
C426,24.414999mm,12.024999000000001mm,Top,0.0
C425,21.724999mm,12.024999000000001mm,Top,180.0
F410,18.881999mm,20.291799mm,Top,0.0
C415,24.048399mm,6.324999mm,Bottom,0.0
C414,23.073399000000002mm,15.834999mm,Bottom,180.0
U411,21.647199mm,10.974999mm,Bottom,90.0
D410,14.524999000000001mm,19.991799mm,Bottom,180.0
R411,14.623399mm,22.891799mm,Bottom,270.0
D417,17.273399mm,23.124999mm,Bottom,180.0
C410,22.517999mm,21.184999mm,Bottom,180.0
D412,18.174999mm,23.741799mm,Top,180.0
R410,15.398399000000001mm,23.774999mm,Top,0.0
D413,18.174999mm,22.116799mm,Top,180.0
C411,17.248399mm,21.324999000000002mm,Bottom,0.0
R413,17.248399mm,19.791799mm,Bottom,0.0
D414,14.724999mm,21.324999000000002mm,Bottom,0.0
D418,18.454999mm,16.124999mm,Top,0.0
D416,23.326599mm,20.218699mm,Top,180.0
U410,22.923399mm,22.824999000000002mm,Top,180.0
C412,22.517999mm,23.224999mm,Bottom,180.0
C413,20.548399mm,22.387899mm,Top,90.0
D411,14.873399mm,21.316499mm,Top,0.0
U420,15.788399mm,12.216799mm,Bottom,180.0
R420,19.898398999999998mm,20.641899mm,Bottom,90.0
C429,18.083399mm,7.624999mm,Bottom,0.0
C427,18.804699mm,20.826899mm,Bottom,270.0
C428,15.894299mm,7.624999mm,Bottom,180.0
C423,16.721599mm,17.716798999999998mm,Bottom,90.0
C421,17.913199mm,17.716798999999998mm,Bottom,90.0
C422,19.104699mm,17.716798999999998mm,Bottom,90.0
C424,15.524999000000001mm,17.716798999999998mm,Bottom,270.0
R421,19.279699mm,15.954999mm,Bottom,0.0
R423,15.994299mm,6.624999mm,Bottom,180.0
D420,17.524999mm,5.624999mm,Top,0.0
C420,14.474999mm,18.124999mm,Bottom,270.0
L420,22.424999mm,18.024999mm,Bottom,180.0
D421,22.774999mm,7.664199mm,Top,270.0
L421,17.024999mm,10.224999mm,Top,0.0
