Comment,Designator,Footprint,LCSC Part #
"BAT54S","VD100, VD101, VD102, VD103","SOT-23","C47546"
"AO3401A","Q100, Q102","SOT-23","C15127"
"AO3400A","Q101, Q103","SOT-23","C20917"
"680k","R201, R202, R205, R206, R221, R222, R225, R226","R0402","C163456"
"510","R133, R134","R0603","C23193"
"510","R254, R255, R256, R258","R0402","C25123"
"470","R101, R118, R119","R0603-4","C25510"
"120","R100","R0603","C22787"
"100n","C100, C101, C105, C108, C111, C112, C113, C119, C120, C122, C124, C126, C127, C130, C134, C147, C180, C185, C190, C195, C220, C221, C222","C0402","C1525"
"100","R104, R106","R0603","C22775"
"74LVC2G17GW,125","U108, U109","SOT-363","C80500"
"32.768 kHz","Y101","SMD2012","C99009"
"10u","C117, C421, C422, C423, C424, C425, C426","C0603","C96446"
"DNP","C123","C0603",""
"20 MHz","Y102","SMD5032","C112566"
"18p","C132, C136","C0402","C1549"
"12p","C115, C116","C0402","C1547"
"10n","C202, C208, C209, C210, C211, C212, C213, C214, C215, C428","C0402","C15195"
"10k","R129, R130, R140","R0603-4","C29718"
"10","R110, R111, R112, R113, R114, R115, R116, R117","R0402","C25077"
"5.1k","R195","R0402","C25905"
"4.7u","C102, C103, C104, C106, C107, C137, C138, C140","C0402","C23733"
"4.7k","R125, R180, R181, R185, R186, R190, R191, R196, R197, R200, R218, R227, R245","R0603-4","C66697"
"4.7k","R144, R203, R204, R207, R208, R219, R220, R223, R224, R428","R0402","C25900"
"2.2u","C114, C131, C223, C224, C229","C0402","C12530"
"2.2k","R122, R123, R146, R147","R0402","C25879"
"1u","C133","C0603","C519560"
"1n","C135, C139, C141, C142, C143, C144, C145, C146, C200, C201, C203, C225, C226, C227, C228","C0402","C1523"
"0","R131, R143, R145, R148","R0402","C17168"
"1n","C771","C0603","C1588"
"22u","C773","C0603","C59461"
"4.7k","R771, R772, R773, R774","R1206","C17936"
"DNP","R775","R0603",""
"10k","R776, R777","R0603","C25804"
"MAX9924UAUB+","U771","MSOP-10_3x3mm_P0.5mm","C143633"
"47u","C410, C412","C1206","C96123"
"100n","C411, C413, C420","C0402","C307331"
"1u","C414, C415","C0402","C52923"
"4.7u","C427","C0603","C19666"
"220p","C429","C0402","C1530"
"PSM712-LF","D411","SOT-23","C32677"
"SMCJ30A","D418","SMC","C310046"
"SS34","D420","SMA","C8678"
"SMD1206P050TF/24","F410","SMD1206","C209741"
"2.2uH","L420","L1210","C36828"
"MWSA0503-10uH","L421","MWSA0503","C139506"
"MHT136UGCT","LED1, LED2, LED3, LED4","LED0402","C434447"
"6.8k","R410, R413","R0402","C25917"
"33k","R411, R424, R425","R0402","C25779"
"1","R420","R0402","C25086"
"68k","R422","R0402","C36871"
"12k","R423","R0402","C25752"
"MIC5205-3.3YM5","U410","SOT23-5","C37970"
"TLS115","U411","PG-DSO-8 EP","C540242"
"LMR14020","U420","SOP8","C187824"
"nSMD050-24V","F42333310","SMD1206","C70076"
